"","suicides.100k.pop","sexfemale","sexmale","age15.24.years","age25.34.years","age35.54.years","age5.14.years","age55.74.years","age75..years"
"7343",6.52,1,0,0,0,0,0,1,0
"7344",6.02,1,0,0,0,1,0,0,0
"7345",3.23,1,0,0,1,0,0,0,0
"7346",3.17,1,0,1,0,0,0,0,0
"7347",0.21,0,1,0,0,0,1,0,0
"7348",0,1,0,0,0,0,1,0,0
"7611",39.81,0,1,0,0,0,0,0,1
"7612",23.16,0,1,0,0,0,0,1,0
"7613",17.94,0,1,0,0,1,0,0,0
"7614",13.04,0,1,0,1,0,0,0,0
"7615",9.31,1,0,0,0,0,0,0,1
"7616",8.82,1,0,0,0,0,0,1,0
"7617",8.24,1,0,0,0,1,0,0,0
"7618",4.87,0,1,1,0,0,0,0,0
"7619",3,1,0,1,0,0,0,0,0
"7620",1.83,1,0,0,1,0,0,0,0
"7621",0,1,0,0,0,0,1,0,0
"7622",0,0,1,0,0,0,1,0,0
"7995",14.9,0,1,1,0,0,0,0,0
"7996",14.47,0,1,0,1,0,0,0,0
"7997",10.07,0,1,0,0,1,0,0,0
"7998",9.53,0,1,0,0,0,0,1,0
"7999",8.73,0,1,0,0,0,0,0,1
"8000",8.1,1,0,1,0,0,0,0,0
"8001",5.11,1,0,0,1,0,0,0,0
"8002",2.99,1,0,0,0,0,0,0,1
"8003",2.35,1,0,0,0,0,0,1,0
"8004",2.33,1,0,0,0,1,0,0,0
"8005",1.69,0,1,0,0,0,1,0,0
"8006",1.22,1,0,0,0,0,1,0,0
"8295",23.24,0,1,0,1,0,0,0,0
"8296",15.3,0,1,0,0,0,0,1,0
"8297",14.89,0,1,0,0,0,0,0,1
"8298",13.58,0,1,1,0,0,0,0,0
"8299",13.03,0,1,0,0,1,0,0,0
"8300",7.08,1,0,1,0,0,0,0,0
"8301",3.91,1,0,0,1,0,0,0,0
"8302",2.8,1,0,0,0,1,0,0,0
"8303",2.08,1,0,0,0,0,0,0,1
"8304",1.06,1,0,0,0,0,1,0,0
"8305",0.8,1,0,0,0,0,0,1,0
"8306",0.15,0,1,0,0,0,1,0,0
"8535",62.6,0,1,0,0,0,0,0,1
"8536",44.83,0,1,0,0,0,0,1,0
"8537",34,0,1,0,0,1,0,0,0
"8538",29.1,0,1,0,1,0,0,0,0
"8539",21.96,0,1,1,0,0,0,0,0
"8540",15.86,1,0,0,0,0,0,0,1
"8541",8.12,1,0,0,0,0,0,1,0
"8542",5.47,1,0,0,1,0,0,0,0
"8543",4.8,1,0,0,0,1,0,0,0
"8544",2.33,1,0,1,0,0,0,0,0
"8545",0,1,0,0,0,0,1,0,0
"8546",0,0,1,0,0,0,1,0,0
"9015",33.88,0,1,0,1,0,0,0,0
"9016",33.78,0,1,0,0,0,0,0,1
"9017",33.51,0,1,0,0,1,0,0,0
"9018",32.43,0,1,0,0,0,0,1,0
"9019",31.18,0,1,1,0,0,0,0,0
"9020",11.12,1,0,0,1,0,0,0,0
"9021",10.98,1,0,0,0,1,0,0,0
"9022",10.41,1,0,0,0,0,0,1,0
"9023",9.3,1,0,1,0,0,0,0,0
"9024",8.29,1,0,0,0,0,0,0,1
"9025",0.33,0,1,0,0,0,1,0,0
"9026",0,1,0,0,0,0,1,0,0
"9387",65.04,0,1,0,0,0,0,0,1
"9388",36.6,0,1,0,0,1,0,0,0
"9389",31.61,0,1,0,0,0,0,1,0
"9390",21.02,0,1,0,1,0,0,0,0
"9391",13.11,1,0,0,0,0,0,0,1
"9392",13.1,1,0,0,0,0,0,1,0
"9393",12.29,1,0,0,0,1,0,0,0
"9394",9.78,0,1,1,0,0,0,0,0
"9395",4.53,1,0,0,1,0,0,0,0
"9396",3.06,1,0,1,0,0,0,0,0
"9397",0.58,0,1,0,0,0,1,0,0
"9398",0.45,1,0,0,0,0,1,0,0
"9639",9.13,0,1,0,0,0,0,1,0
"9640",7.22,0,1,0,0,0,0,0,1
"9641",4.91,0,1,0,0,1,0,0,0
"9642",4.74,0,1,0,1,0,0,0,0
"9643",3.13,0,1,1,0,0,0,0,0
"9644",2.76,1,0,0,0,0,0,0,1
"9645",1.29,1,0,0,0,0,0,1,0
"9646",0.76,1,0,0,0,1,0,0,0
"9647",0.39,0,1,0,0,0,1,0,0
"9648",0,1,0,1,0,0,0,0,0
"9649",0,1,0,0,1,0,0,0,0
"9650",0,1,0,0,0,0,1,0,0
"9951",46.56,0,1,0,0,0,0,0,1
"9952",25.22,0,1,0,0,0,0,1,0
"9953",20.46,0,1,0,0,1,0,0,0
"9954",14.88,0,1,0,1,0,0,0,0
"9955",12.59,1,0,0,0,0,0,0,1
"9956",10.08,0,1,1,0,0,0,0,0
"9957",8.49,1,0,0,0,0,0,1,0
"9958",6.54,1,0,0,0,1,0,0,0
"9959",3.68,1,0,0,1,0,0,0,0
"9960",2.94,1,0,1,0,0,0,0,0
"9961",0.57,0,1,0,0,0,1,0,0
"9962",0.16,1,0,0,0,0,1,0,0
"10323",12.14,0,1,0,0,0,0,0,1
"10324",7.59,0,1,0,0,1,0,0,0
"10325",7.3,0,1,0,0,0,0,1,0
"10326",6.27,0,1,0,1,0,0,0,0
"10327",2.45,0,1,1,0,0,0,0,0
"10328",1,1,0,0,0,0,0,0,1
"10329",0.84,1,0,0,0,1,0,0,0
"10330",0.84,1,0,0,0,0,0,1,0
"10331",0.77,1,0,0,1,0,0,0,0
"10332",0.7,1,0,1,0,0,0,0,0
"10333",0,1,0,0,0,0,1,0,0
"10334",0,0,1,0,0,0,1,0,0
"10623",0,1,0,1,0,0,0,0,0
"10624",0,1,0,0,1,0,0,0,0
"10625",0,1,0,0,0,1,0,0,0
"10626",0,1,0,0,0,0,1,0,0
"10627",0,1,0,0,0,0,0,1,0
"10628",0,1,0,0,0,0,0,0,1
"10629",0,0,1,1,0,0,0,0,0
"10630",0,0,1,0,1,0,0,0,0
"10631",0,0,1,0,0,1,0,0,0
"10632",0,0,1,0,0,0,1,0,0
"10633",0,0,1,0,0,0,0,1,0
"10634",0,0,1,0,0,0,0,0,1
"10993",7.08,0,1,0,1,0,0,0,0
"10994",6.53,0,1,0,0,1,0,0,0
"10995",5.9,0,1,1,0,0,0,0,0
"10996",4.97,0,1,0,0,0,0,1,0
"10997",4.44,0,1,0,0,0,0,0,1
"10998",2.82,1,0,1,0,0,0,0,0
"10999",1.83,1,0,0,1,0,0,0,0
"11000",0.63,1,0,0,0,1,0,0,0
"11001",0.55,1,0,0,0,0,0,1,0
"11002",0.37,1,0,0,0,0,1,0,0
"11003",0.31,0,1,0,0,0,1,0,0
"11004",0,1,0,0,0,0,0,0,1
"11317",102.35,0,1,0,0,0,0,0,1
"11318",89.74,0,1,0,0,1,0,0,0
"11319",56.07,0,1,0,1,0,0,0,0
"11320",39.56,0,1,1,0,0,0,0,0
"11321",36.66,0,1,0,0,0,0,1,0
"11322",30.63,1,0,1,0,0,0,0,0
"11323",19.39,1,0,0,1,0,0,0,0
"11324",11.02,1,0,0,0,0,0,1,0
"11325",9.28,1,0,0,0,1,0,0,0
"11326",6.06,1,0,0,0,0,1,0,0
"11327",2.31,0,1,0,0,0,1,0,0
"11328",0,1,0,0,0,0,0,0,1
"11593",101.57,0,1,0,0,0,0,0,1
"11594",68.23,0,1,0,0,0,0,1,0
"11595",55.88,0,1,0,0,1,0,0,0
"11596",24.33,0,1,0,1,0,0,0,0
"11597",21.84,1,0,0,0,0,0,0,1
"11598",16.23,1,0,0,0,0,0,1,0
"11599",12.26,1,0,0,0,1,0,0,0
"11600",12.13,0,1,1,0,0,0,0,0
"11601",4.94,1,0,0,1,0,0,0,0
"11602",3.29,1,0,1,0,0,0,0,0
"11603",0.4,0,1,0,0,0,1,0,0
"11604",0.21,1,0,0,0,0,1,0,0
"11975",37.83,0,1,0,0,0,0,0,1
"11976",33.88,0,1,0,1,0,0,0,0
"11977",25.95,0,1,0,0,0,0,1,0
"11978",25.24,0,1,0,0,1,0,0,0
"11979",25.1,0,1,1,0,0,0,0,0
"11980",11.76,1,0,0,0,1,0,0,0
"11981",11.15,1,0,0,0,0,0,1,0
"11982",4.56,0,1,0,0,0,1,0,0
"11983",4.43,1,0,0,1,0,0,0,0
"11984",4.37,1,0,1,0,0,0,0,0
"11985",0,1,0,0,0,0,1,0,0
"11986",0,1,0,0,0,0,0,0,1
"12357",25.75,0,1,0,0,1,0,0,0
"12358",22.19,0,1,1,0,0,0,0,0
"12359",19.18,0,1,0,1,0,0,0,0
"12360",17.01,0,1,0,0,0,0,1,0
"12361",10.27,0,1,0,0,0,0,0,1
"12362",6.33,1,0,0,0,0,0,1,0
"12363",5.95,1,0,0,0,1,0,0,0
"12364",4.78,1,0,0,1,0,0,0,0
"12365",3.71,1,0,1,0,0,0,0,0
"12366",3.12,1,0,0,0,0,0,0,1
"12367",1.03,1,0,0,0,0,1,0,0
"12368",0.98,0,1,0,0,0,1,0,0
"12717",27.48,0,1,0,0,0,0,0,1
"12718",18.03,0,1,0,0,0,0,1,0
